Number_of_Video,Text,Annotation,Textual_Sentiment_Analysis,Audio_Sentiment_Analysis,Video_Sentiment_Analysis,Start_Frame,End_Frame
187,"Eins muß ich doch fragen. – Da kam ja der alte Galotti so ganz allein in die Stadt gesprengt. Was will der?
Nichts will er: ein bloßer Spazierritt. Seine Tochter wird, heut' Abend, auf dem Gute, von dem er herkömmt, dem Grafen Appiani angetrauet. Er kann die Zeit nicht erwarten –
Und reitet bald wieder hinaus?
So bald, daß er dich hier trifft, wo du noch lange verziehest. – Aber du hast doch keinen Anschlag auf ihn? Nimm dich in Acht. Er ist ein Mann –
Kenn' ich ihn nicht? Hab' ich nicht unter ihm gedient? – Wenn darum bei ihm nur viel zu holen wäre! – Wenn fahren die junge Leute nach?
Gegen Mittag.
Mit viel Begleitung?
In einem einzigen Wagen: die Mutter, die Tochter",positive,negative,negative,neutral,2346,2389
188,"Ein Paar Freunde kommen aus Sabionetta als Zeugen.
Und Bediente?
Nur zwei; außer mir, der ich zu Pferde vorauf reiten soll.
Das ist gut. – Noch eins: wessen ist die Equipage? Ist es eure?",positive,positive,negative,neutral,2396,2414
189,oder des Grafen,neutral,neutral,neutral,neutral,2416,2418
190,"Du reitest vorauf. Reite doch, reite! und kehre dich an nichts!
Nimmermehr!
Wie? ich glaube gar, du willst den Gewissenhaften spielen. – Bursche! ich denke, du kennst mich. – Wo du plauderst! Wo sich ein einziger Umstand anders findet, als du mir ihn angegeben! –
Aber, Angelo, um des Himmels willen! –
Tu, was du nicht lassen kannst! 
Ha! Laß dich den Teufel bei Einem Haare fassen; und du bist sein auf ewig! Sie bleibt mir zu lang' aus –
Noch einen Augenblick, Odoardo! Es würde sie schmerzen, deines Anblicks so zu verfehlen.",negative,negative,negative,neutral,2419,2465
191,"Ich muß auch bei dem Grafen noch einsprechen. Kaum kann ichs erwarten, diesen würdigen jungen Mann meinen Sohn zu nennen. Alles entzückt mich an ihm. Und vor allem der Entschluß, in seinen väterlichen Tälern sich selbst zu leben.
Das Herz bricht mir, wenn ich hieran gedenke. – So ganz sollen wir sie verlieren, diese einzige geliebte Tochter?
Was nennst du, sie verlieren? Sie in den Armen der Liebe zu wissen?",positive,negative,positiv,neutral,2466,2493
192,"Vermenge dein Vergnügen an ihr, nicht mit ihrem Glücke. – Du möchtest meinen alten Argwohn erneuern: – daß es mehr das Geräusch und die Zerstreuung der Welt, mehr die Nähe des Hofes war, als die Notwendigkeit, unserer Tochter eine anständige Erziehung zu geben, was dich bewog, hier in der Stadt mit ihr zu bleiben; – fern von einem Manne und Vater, der euch so herzlich liebt.
Wie ungerecht, Odoardo! Aber laß mich heute nur ein einziges für diese Stadt, für diese Nähe des Hofes sprechen, die deiner strengen Tugend so verhaßt sind. – Hier, nur hier konnte die Liebe zusammen bringen, was für einander geschaffen war. Hier nur konnte der Graf Emilien finden; und fand sie.
Das räum' ich ein. Aber, gute Claudia, hattest du darum Recht, weil dir der Ausgang Recht gibt? – Gut",neutral,positive,positiv,negative,2494,2548
193,"als glücklich gewesen! Gut, daß es so damit abgelaufen! – Nun haben sie sich gefunden, die für einander bestimmt waren: nun laß sie ziehen, wohin Unschuld und Ruhe sie rufen. – Was sollte der Graf hier? Sich bücken, schmeicheln und kriechen, und die Marinellis auszustechen suchen? um endlich ein Glück zu machen, dessen er nicht bedarf? um endlich einer Ehre gewürdiget zu werden, die für ihn keine wäre? – Pirro!
Hier bin ich.
Geh und führe mein Pferd vor das Haus des Grafen.",negative,positive,positiv,neutral,2554,2585
194,"Warum soll der Graf hier dienen, wenn er dort selbst befehlen kann? – Dazu bedenkst du nicht, Claudia, daß durch unsere Tochter er es vollends mit dem Prinzen verderbt. Der Prinz haßt mich –
Vielleicht weniger, als du besorgest.
Besorgest! Ich besorg' auch so was!
Denn hab' ich dir schon gesagt, daß der Prinz unsere Tochter gesehen hat?
Der Prinz? Und wo das?
In der letzten Vegghia, bei dem Kanzler Grimaldi, die er mit seiner Gegenwart beehrte. Er bezeigte sich gegen sie so gnädig – –
So gnädig?
Er unterhielt sich mit ihr so lange – –
Unterhielt sich mit ihr?
Schien von ihrer Munterkeit und ihrem Witze so bezaubert – –
So bezaubert? –
Hat von ihrer Schönheit mit so vielen Lobeserhebungen gesprochen – –
Lobeserhebungen? Und das alles erzählst du mir in einem Tone der Entzückung? O Claudia!",negative,positive,positiv,negative,2586,2641
195,Auch das ist so abgelaufen.,negative,negative,negative,neutral,2644,2646
196," wenn ich mir einbilde – Das gerade wäre der Ort, wo ich am tödlichsten zu verwunden bin! – Ein Wollüstling, der bewundert, begehrt. – Claudia! Claudia! der bloße Gedanke setzt mich in Wut. – Du hättest mir das sogleich sollen gemeldet haben. – Doch, ich möchte dir heute nicht gern etwas Unangenehmes sagen. Und ich würde wenn ich länger bliebe.",negative,negative,positiv,neutral,2648,2670
197,Gott befohlen,negative,negative,neutral,neutral,2674,2676
198,"Kommt glücklich nach!
Welch ein Mann! – O, der rauhen Tugend! – wenn anders sie diesen Namen verdienet. – Alles scheint ihr verdächtig, alles strafbar! – Oder, wenn das die Menschen kennen heißt; – wer sollte sich wünschen, sie zu kennen?",neutral,positive,negative,neutral,2681,2701
199,wo bleibt aber auch Emilia,negative,neutral,positiv,neutral,2702,2704
200,"Er ist des Vaters Feind: folglich – folglich, wenn er ein Auge für die Tochter hat, so ist es einzig, um ihn zu beschimpfen? – Oder ist er mir gar gefolgt? Ist er, meine Mutter? ist er? – Nein, dem Himmel sei Dank!
Was ist dir, meine Tochter? was ist dir?
Nichts, nichts –
Und blickest so wild um dich? Und zitterst an jedem Gliede? Was kann dir da, an heiliger Stätte, so Schlimmes begegnet sein?
Nie hätte meine Andacht inniger, brünstiger sein sollen, als heute: nie ist sie weniger gewesen, was sie sein sollte.
Wir sind Menschen, Emilia. Die Gabe zu beten ist nicht immer in unserer Gewalt. Dem Himmel ist beten wollen, auch beten.
Und sündigen wollen, auch sündigen.
Das hat meine Emilia nicht wollen! Aber daß fremdes Laster uns, wider unsern Willen, zu Mitschuldigen machen kann!
Fasse dich!",negative,negative,positiv,negative,2708,2758
201,"Sag es mir mit eins, was dir geschehn.",negative,neutral,positiv,neutral,2768,2773
202,eben,neutral,neutral,negative,neutral,2778,2779
203,"eben hatte ich mich weiter von dem Altar als ich sonst pflege, denn ich kam zu spät auf meine Knie gelassen eben fing ich an mein Herz zu erheben als",negative,positive,positiv,negative,2781,2791
204,als dicht hinter mir etwas seinen Platz nahm.,neutral,neutral,negative,neutral,2794,2796
205,"So dicht hinter mir, ich konnte weder vor noch zur Seite Rücken so gern ich auch. Wollte aus Furcht, dass ich eines anderen Andacht stören möchte.",negative,negative,positiv,negative,2798,2804
206,Andacht,neutral,neutral,negative,neutral,2805,2806
207,"Das Schlimmste, dass ich besorgte.",negative,negative,negative,neutral,2807,2809
208,"Aber es währte nicht lange, da hört sich ganz nah an meinem Ohren nach einem tiefen Seufzer nicht den Namen einer heiligen den Namen zürnen Sie nicht meine Mutter den Namen ihrer Tochter meinen Namen und das laute Donner nicht verhindert hätten mehr zuhören sprach von Schönheit von Liebe.",negative,negative,positiv,negative,2810,2835
209,"Es klagte, daß dieser Tag, welcher mein Glück mache, – wenn er es anders mache – sein Unglück auf immer entscheide. – Es beschwor mich – hören mußt' ich dies alles. Aber ich blickte nicht um; ich wollte tun, als ob ich es nicht hörte. – Was konnt' ich sonst? – Meinen guten Engel bitten, mich mit Taubheit zu schlagen; und wann auch, wann auch auf immer! – Das bat ich; das war das einzige, was ich beten konnte.",negative,negative,positiv,negative,2836,2854
210,Endlich war die Zeit sich wieder zu erheben das heilige Amt war zu Ende ich zitterte mich um zu kehren.,negative,negative,positiv,negative,2855,2861
211,"Ich zitterte ihn zu erblicken, der sich den Frevel erlauben dürfen und da ich mich umwandte erblickte.",negative,positive,positiv,negative,2863,2871
212,Meine Tochter raten Sie meine Mutter raten sie nicht.,neutral,negative,positiv,negative,2874,2878
213,"Ich glaubte, in die Erde zu sinken.",negative,negative,positiv,neutral,2879,2881
214,ihm selbst,neutral,positive,positiv,neutral,2883,2883
215,wen ihn selbst.,neutral,positive,positiv,neutral,2885,2888
216,"O gesegnet sei die Ungeduld deines Vaters, der eben hier war, und dich nicht erwarten wollte!
Mein Vater hier? – und wollte mich nicht erwarten?
Wenn du in deiner Verwirrung auch ihn das hättest hören lassen!
Nun, meine Mutter? – Was hätt' er an mir Strafbares finden können?
Nichts; eben so wenig, als an mir. Und doch, doch – Ha, du kennst deinen Vater nicht! In seinem Zorne hätt' er den unschuldigen Gegenstand des Verbrechens mit dem Verbrecher verwechselt.",negative,negative,positiv,neutral,2901,2929
217,"– Aber weiter, meine Tochter, 
 weiter! Als du",neutral,neutral,negative,neutral,2937,2941
218,"Als du den Prinzen erkanntest! Ich will hoffen, dass du deiner Selbst mächtig genug wurdest, in einem Blicke all die Verachtung zu bezeugen die er verdient.",negative,positive,negative,neutral,2943,2953
219,Das war ich nicht meine Mutter.,neutral,negative,positiv,neutral,2956,2957
220,"Nach dem Blicke, mit dem ich ihn erkannte, hatt' ich nicht das Herz, einen zweiten auf ihn zu richten. Ich floh' –
Und der Prinz dir nach –
Was ich nicht wußte, bis ich in der Halle mich bei der Hand ergriffen fühlte. Und von ihm! Aus Scham mußt' ich Stand halten: mich von ihm loszuwinden, würde die Vorbeigehenden zu aufmerksam auf uns gemacht haben. Das war die einzige Überlegung, deren ich fähig war – oder deren ich nun mich wieder erinnere. Er sprach; und ich hab' ihm geantwortet. Aber was er sprach, was ich ihm geantwortet; – fällt mir es noch bei, so ist es gut, so will ich es Ihnen sagen, meine Mutter. Jetzt weiß ich von dem allen nichts.",negative,negative,positiv,neutral,2958,2994
221,Meine Sinne hat mich verlassen.,negative,positive,positiv,neutral,2995,2997
222,"Umsonst denke ich nach wie ich von ihm weg und aus dem Kreuzgang gekommen, ich finde mich erst auf der Straße wieder und höre ihn hinter mir herkommen und höre ihn mit mir gleich in das Haus treten mit mir die Treppe hinaufsteigen.",negative,positive,positiv,neutral,3002,3018
223,"Gott! wenn dein Vater das wüßte! – Wie wild er schon war, als er nur hörte, daß der Prinz dich jüngst nicht ohne Mißfallen gesehen! – Indes, sei ruhig, meine Tochter!",negative,positive,positiv,neutral,3024,3039
224,"Nimm es für einen Traum, das dir begegnet auch wird es noch weniger Folgen haben als ein Traum, du entgehest heute mit eins allen Nachstellungen",positive,negative,positiv,negative,3041,3053
225,aber nicht,neutral,negative,negative,neutral,3055,3055
226,meine Mutter der Graf,negative,neutral,negative,neutral,3057,3058
227,muss das wissen.,neutral,negative,negative,negative,3060,3061
228,ihm muss ich es sagen,negative,positive,negative,neutral,3062,3063
229,"Um alle Welt nicht wozu. Warum bist du für nichts und wieder nichts ihn unruhig machen, aber wenn er es von einem anderen erführe, dass der Prinz mich heute gesprochen.",negative,negative,positiv,negative,3065,3078
230,Würde meinen verschweigen nicht früher oder später seine Unruhe vermehren.,negative,negative,negative,neutral,3079,3082
231,"Ich dächte doch meine Mutter, ich behielte vor ihm lieber nichts auf dem Herzen schwachheim.",positive,positive,positiv,neutral,3083,3088
232,"Verliebte Schwachheit nein, sag ihm nichts.",negative,positive,negative,negative,3090,3094
233,Lass ihn nichts merken.,negative,positive,negative,negative,3096,3098
234,ja,neutral,neutral,neutral,neutral,3100,3100
235,Ich habe keinen Willen gegen den Ihrigen.,positive,positive,negative,neutral,3102,3104
236,Jetzt wird mir auch wieder ganz leicht.,positive,positive,negative,neutral,3109,3112
237,"Was für ein albernes und furchtsames Ding ich bin, ich hätte mich doch wohl anders dabei nehmen können und würde mir ebenso wenig vergeben haben.",positive,positive,positiv,positive,3113,3123
238,"Ich wollte dir das nicht sagen Emilia, bevor es dir dein eigener gesunder Verstand sagte der Prinz.",positive,negative,negative,positive,3125,3133
239,ist galant. Du bist die unbedeutende Sprache der Galanterie zu wenig gewohnt. Eine Höflichkeit wird in ihr zur Empfindung; eine Schmeichelei zur Beteurung; ein Einfall zum Wunsche;,positive,negative,positiv,negative,3134,3150
240,Wunsch zum Vorsatz nichts klingt in dieser Sprache wie alles und alles ist in ihr so vieles nicht so müsste ich mir mit meiner Furcht vollends lächerlich vorkommen.,positive,negative,positiv,negative,3151,3164
241,"Nun soll er gewiss nichts davon erfahren, mein guter Appiani, er könnte mich leicht für mehr eitel als tugendhaft halten.",positive,positive,positiv,positive,3165,3172
242,Dass er da selbst kommt.,neutral,positive,negative,neutral,3177,3178
243,Das ist sein Gang so feierlich so ernsthaft meine teuerste.,positive,negative,positiv,positive,3179,3190
244,"Ich war mir sie in dem Vorzimmer nicht vermutend, ich wünsche Sie heiter Herr Graf auch wo sie mich nicht vermuten es mag wohl dieses Tages Glückseligkeit sein, die mich  so ernst, den ich bis jetzt nennen mein Fräulein so feierlich macht, Auch sie hier, meine gnädige Frau.",positive,negative,positiv,positive,3194,3218
245,"Nun bald wir mit einem innigeren Namen zu verehrende ja, der mein größter Stolz sein wird.",positive,positive,positiv,neutral,3220,3229
246,Wie glücklich bist du meine Emilia Warum hat dein Vater unsere Entzückung nicht teil wollen. Eben habe ich mich auf deinen Armen gerissen oder vielmehr er sich das meine.,positive,negative,positiv,neutral,3230,3244
247,Welch ein Mann meine Emilia ihr Vater?,positive,negative,positiv,neutral,3246,3250
248,das Muster aller männlichen Tugend,positive,neutral,positiv,neutral,3252,3255
249,"Was für Gesinnungen erhebt sich meine Seele in seiner Gegenwart? Nie ist mein Entschluss immer gut immer edel zu sein lebendiger als wenn ich ihn sehe, wenn ich mir denke.",positive,positive,positiv,neutral,3258,3272
250,Und womit sonst als mit der Erfüllung dieses Entschlusses.,positive,positive,positiv,neutral,3273,3276
251,Kann ich mich der Ehre würdig machen.,neutral,positive,positiv,neutral,3278,3281
252,"sein Sohn zu heißen; – der Ihrige zu sein, meine Emilia?
Und er wollte mich nicht erwarten!
Ich urteile, weil ihn seine Emilia, für diesen augenblicklichen Besuch, zu sehr erschüttert, zu sehr sich seiner ganzen Seele bemächtiget hätte.
Er glaubte dich mit deinem Brautschmucke beschäftiget zu finden: und hörte –
Was ich mit der zärtlichsten Bewunderung wieder von ihm gehört habe. – So recht, meine Emilia! Ich werde eine 
fromme Frau an Ihnen haben; und die nicht stolz auf ihre Frömmigkeit ist.
Aber, meine Kinder, eines tun, und das andere nicht lassen! – Nun ist es hohe Zeit; nun mach', Emilia!
Was? meine gnädige Frau.
Sie wollen sie doch nicht so, Herr Graf, so wie sie da ist, zum Altare führen?
Wahrlich",positive,negative,positiv,positive,3282,3331
253,Das werd ich nun erst gewahr.,neutral,positive,negative,neutral,3332,3333
254,Und warum nicht so?,negative,negative,positiv,neutral,3335,3336
255,"So, wie sie da ist.",neutral,neutral,negative,neutral,3337,3338
256,Mein lieber Graf nicht so.,positive,negative,positiv,neutral,3340,3342
257,Nicht ganz so aber auch nicht viel prächtiger nicht viel.,positive,negative,positiv,neutral,3343,3347
258,"Husch, husch und ich bin fertig.",positive,positive,negative,neutral,3349,3351
259,"Nichts, gar nichts von dem Geschmeide, dem letzten Geschenke Ihrer verschwendrischen Großmut! Nichts, gar nichts, was sich nur zu solchem Geschmeide schickte! – Ich könnte ihm gram sein, diesem Geschmeide, wenn es nicht von Ihnen wäre. – Denn dreimal hat mir von ihm geträumet –
Nun! davon weiß ich ja nichts.
Als ob ich es trüge, und als ob plötzlich sich jeder Stein desselben in eine Perle verwandle. – Perlen aber, meine Mutter, Perlen bedeuten Tränen.
Kind! Die Bedeutung ist träumerischer, als der Traum. – Warest du nicht von je her eine größere Liebhaberin von Perlen, als von Steinen? –
Freilich, meine Mutter, freilich –
Bedeuten Tränen – bedeuten Tränen!",negative,positive,positiv,negative,3353,3404
260,ihnen fällt das auf ihnen,positive,neutral,negative,neutral,3406,3408
261,"jawohl, ich sollte mich schämen, aber wenn die Einbildungskraft einmal so so traurigen Bilder gestimmt ist, warum ist sie das auch und Was meinen Sie, dass ich mir ausgedacht habe?",positive,negative,positiv,neutral,3410,3423
262,"Was trug ich, wie sah ich, als ich Ihnen zuerst gefiel, – Wissen Sie es noch?
Ob ich es noch weiß? Ich sehe Sie in Gedanken nie anders, als so; und sehe Sie so, auch wenn ich Sie nicht so sehe.
Also, ein Kleid von der nämlichen Farbe, von dem nämlichen Schnitte; fliegend und frei –
Vortrefflich!
Und das Haar –
In seinem eignen braunen Glanze; in Locken, wie sie die Natur schlug –",positive,negative,positiv,neutral,3424,3451
263,Die Rose darin nicht zu vergessen.,positive,negative,positiv,neutral,3452,3454
264,"Recht, recht eine kleine Geduld und ich stehe so vor ihnen da.",positive,negative,positiv,neutral,3456,3460
265,Perlen bedeuten Tränen eine kleine Geduld,positive,negative,negative,neutral,3463,3469
266,"Ja, wenn die Zeit nur außer uns wäre! – Wenn eine Minute am Zeiger, sich in uns nicht in Jahre ausdehnen könnte! –
Emiliens Beobachtung, Herr Graf, war so schnell, als richtig. Sie sind heut' ernster als gewöhnlich. Nur noch einen Schritt",negative,negative,negative,neutral,3471,3489
267,"sollt' es Sie reuen, Herr Graf, daß es das Ziel Ihrer Wünsche gewesen?
Ah, meine Mutter, und Sie können das von Ihrem Sohne argwohnen? – Aber, es ist wahr; ich bin heut' ungewöhnlich trübe und finster. – Nur sehen Sie, gnädige Frau; – noch Einen Schritt vom Ziele",negative,positive,negative,neutral,3493,3511
268,Oder noch gar nicht ausgelaufen sein ist im Grunde eines.,negative,negative,positiv,neutral,3512,3517
269,"Alles was ich sehe, alles was ich höre alles was ich träume predigen mir seit gestern und gehe gestern diese Wahrheit. Dieser eine Gedanke kettet sich an den anderen, den ich haben muss und haben was ist das ich verstehe es nicht machen mich unruhig halt dann zum anderen, ich bin ärgerlich ärgerlich über meine Freunde, mich selbst.",negative,negative,positiv,positive,3518,3543
270,"Wie so?
Meine Freunde verlangen schlechterdings, daß ich dem Prinzen von meiner Heirat ein Wort sagen soll, ehe ich sie vollziehe. Sie geben mir zu, ich sei es nicht schuldig: aber die Achtung gegen ihn woll' es nicht anders. – Und ich bin schwach genug gewesen, es ihnen zu versprechen.",negative,negative,negative,neutral,3544,3563
271,"Eben wollte ich noch bei ihm Vorfahren bei dem Prinze, würde das Geschäft an sich. Es ist in einigen Minuten geschehen nun.",neutral,positive,negative,negative,3565,3598
272,"Ich komme von des Prinzen Durchlaucht.
Was ist zu seinem Befehl?
Ich bin stolz, der Überbringer einer so vorzüglichen Gnade zu sein. – Und wenn Graf Appiani nicht mit Gewalt einen seiner ergebensten Freunde in mir verkennen will – –
Ohne weitere Vorrede; wenn ich bitten darf.",positive,negative,negative,positive,3612,3628
273,"Der Prinz muss sogleich an den Herzog von Massa in Angelegenheit seiner Vermählung mit dessen Prinzessin Tochter einen Bevollmächtigten senden. Er war lange unschlüssig, wenn er dazu ernennen sollte, endlich ist seine Wahl Herr Graf.",neutral,positive,negative,neutral,3630,3644
274,auf sie gefallen,positive,positive,negative,neutral,3646,3646
275,"Auf mich?
Und das, – wenn die Freundschaft ruhmredig sein darf – nicht ohne mein Zutun –
Wahrlich, Sie setzen mich wegen eines Dankes in Verlegenheit. 
 – Ich habe schon längst nicht mehr erwartet, daß der Prinz mich zu brauchen geruhen werde. –
Ich bin versichert, daß es ihm bloß an einer würdigen Gelegenheit gemangelt hat. Und wenn auch diese so eines Mannes, wie Graf Appiani, noch nicht würdig genug sein sollte: so ist freilich meine Freundschaft zu voreilig gewesen.
Freundschaft und Freundschaft, um das dritte Wort! – Mit wem red' ich denn? Des Marchese Marinelli Freundschaft hätt' ich mir nie träumen lassen. –
Ich erkenne mein Unrecht, Herr Graf, mein unverzeihliches Unrecht, daß ich, ohne Ihre Erlaubnis, Ihr Freund sein wollen. – Bei dem allen: was tut das? Die Gnade des Prinzen, die Ihnen angetragene Ehre, bleiben, was sie sind: und ich zweifle nicht, Sie werden sie mit Begierd' ergreifen.",positive,negative,negative,positive,3650,3710
276,"Allerdings.
Nun so kommen Sie.
Wohin?
Nach Dosalo, zu dem Prinzen. – Es liegt schon alles fertig; und Sie müssen noch heut' abreisen.
Was sagen Sie? – Noch heute?",neutral,positive,negative,positive,3711,3726
277,"So, dann tut es mir leid.",negative,negative,negative,neutral,3732,3737
278,"daß ich die Ehre, welche mir der Prinz zugedacht, verbitten muß.
Wie?
Ich kann heute nicht abreisen; – auch morgen nicht; – auch übermorgen noch nicht. –
Sie scherzen, Herr Graf.
Mit Ihnen?
Unvergleichlich! Wenn der Scherz den Prinzen gilt, so ist er um so viel lustiger. – Sie können nicht?
Nein, mein Herr, nein. – Und ich hoffe, daß der Prinz selbst meine Entschuldigung wird gelten lassen.
Die bin ich begierig, zu hören.
O, eine Kleinigkeit! – Sehen Sie; ich soll noch heut' eine Frau nehmen.",positive,negative,negative,positive,3738,3765
279,"und dann?
Und dann? – und dann? – Ihre Frage ist auch verzweifelt naiv.
Man hat Exempel, Herr Graf, daß sich Hochzeiten aufschieben lassen. – Ich glaube freilich nicht, daß der Braut oder dem Bräutigam immer damit gedient ist. Die Sache mag ihr Unangenehmes haben. Aber doch, dächt' ich, der Befehl des Herrn –
Der Befehl des Herrn? – des Herrn? Ein Herr, den man sich selber wählt, ist unser Herr so eigentlich nicht – Ich gebe zu, daß Sie dem Prinzen unbedingtern Gehorsam schuldig wären. Aber nicht ich. – Ich kam an seinen Hof als ein Freiwilliger. Ich wollte die Ehre haben, ihm zu dienen; aber nicht sein Sklave werden.",negative,negative,negative,negative,3768,3802
280,"Ich bin der Vasall eines größern Herrn –
Größer oder kleiner: Herr ist Herr.
Daß ich mit Ihnen darüber stritte! – Genug, sagen Sie dem Prinzen, was Sie gehört haben; – daß es mir leid tut, seine Gnade nicht annehmen zu können; weil ich eben heut' eine Verbindung vollzöge, die mein ganzes Glück ausmache.
Wollen Sie ihn nicht zugleich wissen lassen, mit wem?",negative,negative,positiv,negative,3807,3830
281,"mit Emilia Galotti Zeremonie nur den Zeremonien Eltern, werden es so genau nicht nehmen. Sie sind mit ihrem ",positive,negative,positiv,positive,3834,3861
282,Graf. Warum nicht?,neutral,negative,negative,neutral,3871,3872
283,Himmel und Hölle,negative,negative,positiv,neutral,3874,3876
284,"Wir werden uns sprechen.
Pah! Hämisch ist der Affe; aber –
Tod und Verdammnis! – Graf, ich fodere Genugtuung.
Das versteht sich.
Und würde sie gleich jetzt nehmen: – nur daß ich dem zärtlichen Bräutigam den heutigen Tag nicht verderben mag.
Gutherziges Ding! Nicht doch! Nicht doch! Indem er ihn bei der Hand ergreift. Nach Massa freilich mag ich mich heute nicht schicken lassen; aber zu einem Spaziergange mit Ihnen hab' ich Zeit übrig.",negative,negative,negative,positive,3876,3903
285,Kommen sie kommen sie.,negative,neutral,negative,neutral,3905,3908
286,"Nur Geduld, Graf, nur Geduld!
Geh, Nichtswürdiger! – Ha! das hat gut getan. Mein Blut ist in Wallung gekommen. Ich fühle mich anders und besser.
Gott! Herr Graf – Ich hab' einen heftigen Wortwechsel gehört. – Ihr Gesicht glühet. Was ist vorgefallen?
Nichts, gnädige Frau, gar nichts. Der Kammerherr Marinelli hat mir einen großen Dienst erwiesen. Er hat mich des Ganges zum Prinzen überhoben.
In der Tat?
Wir können nun um so viel früher abfahren. Ich gehe, meine Leute zu treiben, und bin sogleich wieder hier. Emilia wird indes auch fertig.",positive,positive,positiv,neutral,3920,3961
287,ganz ruhig gnädige Frau,positive,positive,positiv,neutral,3966,3969
288,Und so bleibt es dabei. So geht das vor sich so wird Emilia,negative,neutral,negative,neutral,3988,3996
289,Heute die seinigen. Allem Ansehen nach.,neutral,neutral,negative,neutral,3997,3999
290,"Ich versprach mir von Ihrem Einfalle so viel! – Wer weiß, wie albern Sie sich dabei genommen. – Wenn der Rat eines Toren einmal gut ist, so muß ihn ein gescheuter Mann ausführen. Das hätt' ich bedenken sollen.
Da find' ich mich schön belohnt!
Und wofür belohnt?
Daß ich noch mein Leben darüber in die Schanze schlagen wollte. – Als ich sah, daß weder Ernst noch Spott den Grafen bewegen konnte, seine Liebe der Ehre nachzusetzen: versucht' ich es, ihn in Harnisch zu jagen. Ich sagte ihm Dinge, über die er sich vergaß. Er stieß Beleidigungen gegen mich aus: und ich foderte Genugtuung, – und foderte sie gleich auf der Stelle.  Und der Graf? – Er stehet in dem Rufe, sich so etwas nicht zweimal sagen zu lassen.
Nachdem es fällt, ohne Zweifel. – Wer kann es ihm auch verdenken? – Er versetzte, daß er auf heute doch noch etwas Wichtigeres zu tun habe, als sich mit mir den Hals zu brechen. Und so beschied er mich auf die ersten acht Tage nach der Hochzeit.",negative,negative,negative,negative,4002,4051
291,mit Emilia Galotti,neutral,neutral,negative,neutral,4053,4054
292,"Der Gedanke macht mich rasend! – Darauf ließen Sie es gut sein, und gingen; – und kommen und prahlen, daß Sie Ihr Leben für mich in die Schanze geschlagen; sich mir aufgeopfert –
Was wollen Sie aber, gnädiger Herr, das ich weiter hätte tun sollen?
Weiter tun? – Als ob er etwas getan hätte!
Und lassen Sie doch hören, gnädiger Herr, was Sie für sich selbst getan haben. – Sie waren so glücklich, sie noch in der Kirche zu sprechen. Was haben Sie mit ihr abgeredet?
Neugierde zur Gnüge! – Die ich nur befriedigen muß.",negative,positive,negative,negative,4059,4092
293,"O, es ging alles nach Wunsch. Sie kam meinem Verlangen, mehr als halbes Weges, entgegen. Ich hätte sie nur gleich mitnehmen dürfen Nun wissen Sie, was Sie wissen wollen; – und können gehn!",neutral,negative,negative,negative,4093,4108
294,"Ja, das ist dann das Ende von dem Lied und würde es eingesetzt auch ich wollte noch das Unmögliche versuchen. Das Unmögliche sag ich.",neutral,negative,negative,neutral,4110,4122
295,"So unmöglich wär' es nun wohl nicht; aber kühn. – Wenn wir die Braut in unserer Gewalt hätten: so stünd' ich dafür, daß aus der Hochzeit nichts werden sollte.
Ei! wofür der Mann nicht alles stehen will! Nun dürft' ich ihm nur noch ein Kommando von meiner Leibwache geben, und er legte sich an der Landstraße damit in Hinterhalt, und fiele selbst funfziger einen Wagen an, und riß ein Mädchen heraus, das er im Triumphe mir zubrächte.
Es ist eher ein Mädchen mit Gewalt entführt worden, ohne daß es einer gewaltsamen Entführung ähnlich gesehen.",positive,negative,negative,negative,4124,4158
296,"Wenn Sie das zumachen wüssten, so würden sie nicht erst lange davon schwatzen.",negative,negative,neutral,neutral,4163,4169
297,"Nur für den Ausgang müsste man nicht stehen sollen. Es könnten sich Unglücksfälle dabei ereilen und das ist meiner, dass ich Leute Dinge verantworten lasse wofür Sie nicht können.",neutral,negative,negative,negative,4170,4183
298,Was war das?,neutral,neutral,negative,positive,4189,4190
299,Fertig recht hörten sie nicht auch werde gehört allen Schuss fallen.,neutral,negative,negative,neutral,4192,4195
300,"Und da noch einen!
Was ist das? was gibts?
 Wie wann ich tätiger wäre, als Sie glauben?",negative,positive,negative,neutral,4198,4205
301,"So sagen sie doch kurz, wovon ich gesprochen geschieht.",neutral,negative,positiv,negative,4209,4213
302,"Ist es möglich?
Nur vergessen Sie nicht, wessen Sie mich eben versichert. – Ich habe nochmals Ihr Wort – –
Aber die Anstalten sind doch so –",negative,negative,negative,negative,4214,4221
303,"Die Ausführung ist Leuten anvertrauet, auf die ich mich verlassen kann. Der Weg geht hart an der Planke des Tiergartens vorbei. Da wird ein Teil den Wagen angefallen haben; gleichsam, um ihn zu plündern. Und ein andrer Teil, wobei einer von meinen Bedienten ist, wird aus dem Tiergarten gestürzt sein; den Angefallenen gleichsam zur Hilfe. Während des Handgemenges, in das beide Teile zum Schein geraten, soll mein Bedienter Emilien ergreifen, als ob er sie retten wolle, und durch den Tiergarten in das Schloß bringen. – So ist die Abrede.",neutral,negative,negative,neutral,4223,4252
304,ja sagen sie nun,negative,neutral,positiv,neutral,4256,4258
305,überrasche mich auf eine sonderbare art,neutral,positive,negative,neutral,4263,4265
